TUM Study Programs
Source: portfolio page
Found: 352 programs
Date: scan output — use Ctrl+F to find programs of interest
========================================================================================================================

    ID  Title
------------------------------------------------------------------------------------------------------------------------
  4941  &nbsp;
  5445  41 054 Physik (20221, Erweiterungsstudium Lehramt, laufend)
  5377  41 108 Chemie (20241, Erweiterungsstudium Lehramt, laufend)
  5376  41 110 Biologie (20241, Erweiterungsstudium Lehramt, laufend)
  5409  42 421 Metalltechnik (20251, Masterstudium, laufend)
  5410  42 501 Elektrotechnik und Informationstechnik (20251, Masterstudium, laufend)
  5418  43 290 Sport Lehramt an Mittelschulen Erweiterung oder Drittfach (20241, Lehramtsstudium, laufend)
  5411  45 280 Sustainable Real Estate (20251, Masterstudium, laufend)
  5095  53 810 Brauwesen mit Abschluss Diplom-Braumeister (20221, Diplomstudium, laufend)
  4959  66 628 TUM Skills Excellence Program (Fakultät für Mathematik) (20211, Aufbaustudium, laufend)
  4960  66 629 TUM Skills Excellence Program (Fakultät für Physik) (20211, Aufbaustudium, laufend)
  4961  66 630 TUM Skills Excellence Program (Fakultät für Chemie) (20211, Aufbaustudium, laufend)
  4973  66 631 TUM Skills Excellence Program (TUM School of Management München) (20211, Aufbaustudium, laufend)
  4962  66 633 TUM Skills Excellence Program (Ingenieurfakultät Bau Geo Umwelt) (20211, Aufbaustudium, laufend)
  4963  66 634 TUM Skills Excellence Program (Fakultät für Architektur) (20211, Aufbaustudium, laufend)
  4964  66 635 TUM Skills Excellence Program (Fakultät für Maschinenwesen) (20211, Aufbaustudium, laufend)
  4965  66 636 TUM Skills Excellence Program (Luftfahrt, Raumfahrt und Geodäsie) (20211, Aufbaustudium, laufend)
  4967  66 639 TUM Skills Excellence Program (Fakultät für Informatik) (20211, Aufbaustudium, laufend)
  4968  66 646 TUM Skills Excellence Program (Fakultät für Medizin) (20211, Aufbaustudium, laufend)
  4970  66 648 TUM Skills Excellence Program (TUM School of Education) (20211, Aufbaustudium, laufend)
  4971  66 649 TUM Skills Excellence Program (TUM School of Governance) (20211, Aufbaustudium, laufend)
  4982  66 650 TUM Skills Excellence Program (SO Lehrertum) (20211, Aufbaustudium, laufend)
  4983  66 651 TUM Skills Excellence Program (SO Governance) (20211, Aufbaustudium, laufend)
  4984  66 653 TUM Skills Excellence Program (Munich School of Engineering) (20211, Aufbaustudium, laufend)
  3803  70 008 Propädeutikum Studienkolleg (0, Studienkolleg, laufend)
  2510  70 010 Mathematik (0, Studienkolleg, laufend)
  3139  70 030 Informatik (0, Studienkolleg, laufend)
  3145  70 043 Wirtschaftsinformatik (0, Studienkolleg, laufend)
  2518  70 100 Chemie (0, Studienkolleg, laufend)
  2694  70 105 Biochemie (0, Studienkolleg, laufend)
  2615  70 110 Biologie (0, Studienkolleg, laufend)
  3157  70 130 Geologie (0, Studienkolleg, laufend)
  3778  70 139 Geowissenschaften (0, Studienkolleg, laufend)
  2525  70 160 Lebensmittelchemie (0, Studienkolleg, laufend)
  2967  70 256 Technologie- u. Managementorientierte BWL (0, Studienkolleg, laufend)
  2686  70 291 Sportwissenschaft (0, Studienkolleg, laufend)
  2964  70 310 Bauingenieurwesen (0, Studienkolleg, laufend)
  3395  70 330 Vermessungswesen (0, Studienkolleg, laufend)
  2691  70 332 Geodäsie und Geoinformation (0, Studienkolleg, laufend)
  2972  70 340 Restaurierung, Kunsttechn. u. Konserv.-wissenschaften (0, Studienkolleg, laufend)
  2778  70 350 Architektur (0, Studienkolleg, laufend)
  2876  70 401 Maschinenwesen (0, Studienkolleg, laufend)
  4394  70 411 Ingenieurwissenschaften (Engin. Science) (0, Studienkolleg, laufend)
  2700  70 415 Chemie-Ingenieurwesen (0, Studienkolleg, laufend)
  5404  70 437 Aerospace (20251, Studienkolleg, laufend)
  2547  70 457 Umweltingenieurwesen (0, Studienkolleg, laufend)
  2956  70 500 Elektrotechnik und Informationstechnik (0, Studienkolleg, laufend)
  3064  70 701 Agrarwissenschaften (0, Studienkolleg, laufend)
  3146  70 721 Gartenbauwissenschaften (0, Studienkolleg, laufend)
  2788  70 722 Landnutzung-Agrarwissenschaft und Gartenbauwissenschaft (0, Studienkolleg, laufend)
  2712  70 741 Landschaftsarchitektur und -planung alt (0, Studienkolleg, laufend)
  4254  70 746 Landschaftsarchitektur und Landschaftsplanung (0, Studienkolleg, laufend)
